原文件,0-10km/h速度占比,10-20km/h速度占比,20-30km/h速度占比,30-40km/h速度占比,40-50km/h速度占比,    50-60km/h速度占比,60-70km/h速度占比,70以上km/h速度占比,    加速度占比,减速度占比,怠速占比,匀速占比,速度标准差,平均速度,油耗平均值
ff191,0.049,0.078,0.291,0.34,0.243,0,0,0,0.592,0.369,0.104,0.049,13.901,31.17,0.578
ff192,0.061,0.038,0.045,0.492,0.364,0,0,0,0.455,0.447,0.029,0.106,12.425,36.3,0.591
ff193,0.119,0.169,0.153,0.424,0.136,0,0,0,0.576,0.305,0.535,0.102,16.384,27.836,7.934
ff194,0.232,0.464,0.304,0,0,0,0,0,0.48,0.416,0.06,0.096,7.582,15.55,0.435
ff195,0.571,0.429,0,0,0,0,0,0,0.429,0.571,0.667,0.143,5.091,9.757,0.421
ff196,0.151,0.548,0.301,0,0,0,0,0,0.493,0.425,0.27,0.096,8.407,14.86,0.415
ff197,0.885,0.115,0,0,0,0,0,0,0.577,0.423,0.653,0.038,3.514,6.119,0.346
ff198,0.857,0.143,0,0,0,0,0,0,0.429,0.643,0.696,0,3.611,6.843,0.371
ff199,0.052,0.041,0.289,0.619,0,0,0,0,0.402,0.371,0.326,0.227,14.931,29.246,0.512
ff1100,0.067,0.093,0.173,0.173,0.453,0.04,0,0,0.68,0.213,0.227,0.093,19.277,35.105,0.685
ff1101,0.009,0.017,0.011,0.068,0.098,0.386,0.359,0.051,0.465,0.374,0.083,0.163,19.367,56.367,0.921
ff1102,1,0,0,0,0,0,0,0,0.333,0.667,0.935,0.333,0.56,2.2,0.27
ff1103,0.08,0.13,0.14,0.24,0.41,0,0,0,0.6,0.35,0.099,0.06,16.186,33.724,0.696
ff1104,0.027,0.054,0.051,0.119,0.179,0.507,0.063,0,0.448,0.427,0.023,0.128,15.593,46.427,0.717
ff1105,0.727,0.273,0,0,0,0,0,0,0.432,0.477,0.241,0.114,5.94,7.511,25.335
ff1106,0.238,0.321,0.44,0,0,0,0,0,0.417,0.476,0.143,0.119,9.048,17.144,12.261
ff1107,0.048,0.089,0.131,0.185,0.137,0.298,0.113,0,0.542,0.351,0.257,0.113,23.367,41.53,0.713
ff1108,1,0,0,0,0,0,0,0,0.5,0.5,0.939,0.5,0.412,1.7,0.28
ff1109,0.619,0.381,0,0,0,0,0,0,0.381,0.524,0.533,0.143,5.089,9.21,0.327
ff1110,0.111,0.683,0.206,0,0,0,0,0,0.397,0.508,0.203,0.111,8.377,16.124,0.392
ff1111,0.072,0.188,0.275,0.159,0.13,0.174,0,0,0.667,0.29,0.115,0.058,17.627,30.988,0.86
ff1112,0.095,0.079,0.159,0.175,0.317,0.175,0,0,0.476,0.492,0.583,0.048,20.005,35.363,9.402
ff1113,0.143,0.082,0.143,0.184,0.347,0.102,0,0,0.51,0.51,0.329,0,20.279,33.369,5.783
ff1114,0.118,0.353,0.235,0.088,0.206,0,0,0,0.544,0.426,0.292,0.044,15.62,24.418,1.602
ff1115,1,0,0,0,0,0,0,0,0.5,1,0.905,0,0.538,1.75,63.95
ff1116,1,0,0,0,0,0,0,0,0.267,0.533,0.732,0.267,1.671,3.507,8.685
ff1117,0.303,0.303,0.395,0,0,0,0,0,0.526,0.355,0.183,0.132,9.961,15.821,0.406
ff1118,1,0,0,0,0,0,0,0,0.333,0.533,0.211,0.2,2.084,3.193,0.269
ff1119,1,0,0,0,0,0,0,0,0.667,0.5,0.6,0,3.103,5.583,0.323
ff1120,0.552,0.345,0.103,0,0,0,0,0,0.483,0.431,0.134,0.103,7.411,9.483,0.394
ff1121,1,0,0,0,0,0,0,0,1,1,0.909,0,0.121,0.4,0.26
ff1122,0.463,0.103,0.316,0.118,0,0,0,0,0.478,0.331,0.022,0.199,11.297,15.371,6.717
ff1123,1,0,0,0,0,0,0,0,0.714,0.429,0.86,0,1.447,4.029,0.296
ff1124,0.107,0.08,0.44,0.373,0,0,0,0,0.5,0.42,0.176,0.08,12.605,25.764,0.912
ff1125,0.1,0.15,0.207,0.536,0.007,0,0,0,0.45,0.421,0.489,0.129,15.415,27.211,0.484
ff1126,1,0,0,0,0,0,0,0,0.5,0.5,0.714,0.5,0.098,0.2,31.67
ff1127,1,0,0,0,0,0,0,0,0.4,0.5,0.697,0.2,3.154,5.39,0.286
ff1128,0.462,0.538,0,0,0,0,0,0,0.423,0.423,0.161,0.192,6.059,11.558,0.36
ff1129,0.279,0.721,0,0,0,0,0,0,0.488,0.442,0.699,0.093,5.751,11.616,1.711
ff1130,1,0,0,0,0,0,0,0,0.5,1,0.889,0,0.502,1.55,57.4
ff1131,0.081,0.081,0.105,0.349,0.384,0,0,0,0.547,0.314,0.055,0.151,14.808,34.21,1.401
ff1132,0.054,0.081,0.176,0.527,0.162,0,0,0,0.568,0.419,0.475,0.027,17.404,31.461,10.659
ff1133,0.113,0.132,0.17,0.151,0.434,0,0,0,0.642,0.321,0.346,0.057,19.53,31.958,3.051
ff1134,0.073,0.085,0.341,0.232,0.268,0,0,0,0.598,0.317,0.503,0.085,17.797,31.132,0.632
ff1135,0.073,0.122,0.195,0.171,0.439,0,0,0,0.561,0.463,0.212,0,18.575,33.559,6.738
ff1136,0.073,0.22,0.317,0.305,0.085,0,0,0,0.585,0.354,0.344,0.061,14.828,26.056,0.646
ff1137,1,0,0,0,0,0,0,0,0,0,0.75,0,0.05,0.1,0.24
ff1138,1,0,0,0,0,0,0,0,0,0,0.75,0,0.05,0.1,0.27
ff1139,0.02,0.118,0.157,0.196,0.157,0.353,0,0,0.686,0.275,0.592,0.059,20.983,38.304,10.549
ff1140,0.1,0.1,0.35,0.45,0,0,0,0,0.7,0.3,0.259,0.025,14.37,26.123,0.596
ff1141,0.092,0.116,0.189,0.212,0.194,0.181,0.016,0,0.56,0.356,0.057,0.084,17.305,33.969,2.75
ff1142,1,0,0,0,0,0,0,0,1,1,0.75,0,0.1,0.2,0.26
ff1143,1,0,0,0,0,0,0,0,0.571,0.571,0.741,0,2.217,4.643,0.291
ff1144,1,0,0,0,0,0,0,0,0.2,0.4,0.5,0.6,1.025,1.92,0.306
ff1145,0.198,0.189,0.486,0.126,0,0,0,0,0.505,0.369,0.035,0.135,10.052,20.635,0.438
ff1146,1,0,0,0,0,0,0,0,0.4,0.4,0.375,0.4,1.018,1.92,56.766
ff1147,0.194,0.145,0.177,0.484,0,0,0,0,0.613,0.306,0.075,0.097,13.943,25.168,10.181
ff1148,0.083,0.222,0.264,0.431,0,0,0,0,0.653,0.306,0.493,0.056,14.706,25.733,0.653
ff1149,0.053,0.132,0.763,0.053,0,0,0,0,0.605,0.289,0.513,0.132,12.829,24.361,0.514
ff1150,0.19,0.286,0.524,0,0,0,0,0,0.381,0.476,0.691,0.095,9.973,18.602,0.44
ff1151,0.222,0.778,0,0,0,0,0,0,0.556,0.556,0.951,0,2.953,13.056,0.392
ff1152,1,0,0,0,0,0,0,0,0.333,0.333,0.5,0.667,0.151,0.267,0.263
ff1153,0.12,0.38,0.5,0,0,0,0,0,0.6,0.28,0.057,0.14,8.147,18.388,0.489
ff1154,0.138,0.31,0.552,0,0,0,0,0,0.552,0.448,0.613,0.034,10.08,18.655,0.486
ff1155,0.545,0.455,0,0,0,0,0,0,0.227,0.727,0.083,0.091,3.865,8.645,3.2
ff1156,0.133,0.627,0.24,0,0,0,0,0,0.413,0.453,0.581,0.133,8.691,16.16,25.455
ff1157,0.021,0.062,0.33,0.526,0.062,0,0,0,0.505,0.412,0.54,0.093,16.211,30.739,13.064
ff1158,0.06,0.34,0.6,0,0,0,0,0,0.52,0.38,0.074,0.12,7.261,19.148,20.131
ff1159,0.233,0.267,0.5,0,0,0,0,0,0.433,0.433,0.667,0.133,9.5,17.493,16.689
ff1160,0.389,0.611,0,0,0,0,0,0,0.333,0.333,0.647,0.389,6.05,9.611,7.161
ff1161,0.258,0.323,0.419,0,0,0,0,0,0.484,0.387,0.311,0.129,9.683,15.668,6.459
ff1162,0.06,0.2,0.22,0.52,0,0,0,0,0.6,0.38,0.51,0.04,15.481,27.328,0.494
ff1163,1,0,0,0,0,0,0,0,0.333,1,0.909,0,0.615,2.1,0.263
ff1164,0.101,0.217,0.188,0.319,0.174,0,0,0,0.478,0.449,0.055,0.072,13.019,27.161,8.723
ff1165,0.825,0.175,0,0,0,0,0,0,0.475,0.375,0.672,0.175,3.722,7.075,25.033
ff1166,1,0,0,0,0,0,0,0,1,1,0.938,0,0.425,1.7,59.04
ff1167,0.78,0.22,0,0,0,0,0,0,0.537,0.244,0.163,0.244,3.978,7.732,22.105
ff1168,0.421,0.579,0,0,0,0,0,0,0.474,0.474,0.441,0.105,6.47,10.974,6.989
ff1169,0.812,0.188,0,0,0,0,0,0,0.5,0.438,0.385,0.125,3.985,5.563,7.971
ff1170,0.654,0.346,0,0,0,0,0,0,0.5,0.385,0.316,0.115,4.838,8.031,19.863
ff1171,0.318,0.273,0.409,0,0,0,0,0,0.482,0.373,0.027,0.145,9.009,16.078,11.556
ff1172,0.061,0.415,0.366,0.159,0,0,0,0,0.488,0.427,0.481,0.098,11.894,21.38,6.584
ff1173,1,0,0,0,0,0,0,0,0.333,0,0.625,0.333,0.092,0.167,63.16
ff1174,1,0,0,0,0,0,0,0,0.333,0.667,0.905,0.167,1.183,3.833,30.865
ff1175,0.13,0.278,0.593,0,0,0,0,0,0.519,0.444,0.129,0.056,9.029,19.15,8.524
ff1176,0.176,0.647,0.176,0,0,0,0,0,0.588,0.412,0.469,0.059,8.4,14.1,11.391
ff1177,0.119,0.194,0.224,0.463,0,0,0,0,0.493,0.433,0.442,0.09,14.992,25.328,3.278
ff1178,0.35,0.34,0.31,0,0,0,0,0,0.48,0.41,0.363,0.11,9.848,14.811,8.448
ff1179,0.764,0.236,0,0,0,0,0,0,0.364,0.4,0.382,0.218,4.346,7.205,13.637
ff1180,0.154,0.546,0.3,0,0,0,0,0,0.446,0.392,0.023,0.162,6.398,16.417,2.791
ff1181,0.537,0.167,0.296,0,0,0,0,0,0.426,0.444,0.546,0.148,8.597,12.611,4.946
ff1182,0.119,0.19,0.31,0.381,0,0,0,0,0.548,0.357,0.693,0.095,12.558,24.414,10.654
ff1183,0.071,0.188,0.376,0.365,0,0,0,0,0.529,0.365,0.315,0.118,13.422,25.079,2.667
ff1184,0.367,0.133,0.433,0.067,0,0,0,0,0.367,0.433,0.655,0.167,10.694,17.357,6.701
ff1185,0.333,0.667,0,0,0,0,0,0,0.375,0.458,0.351,0.167,7.553,10.95,15.818
ff1186,1,0,0,0,0,0,0,0,0.4,0.8,0.375,0,3.3,4.92,36.676
ff1187,0.333,0.571,0.095,0,0,0,0,0,0.429,0.476,0.562,0.095,7.172,12.062,15.129
ff1188,0.102,0.136,0.729,0.034,0,0,0,0,0.508,0.39,0.563,0.119,12.394,22.783,10.994
ff1189,0.196,0.261,0.326,0.217,0,0,0,0,0.522,0.413,0.233,0.043,12.377,19.961,10.895
ff1190,0.222,0.556,0.222,0,0,0,0,0,0.667,0.389,0.526,0,8.177,14.144,20.759
ff1191,0.079,0.213,0.416,0.281,0.011,0,0,0,0.404,0.517,0.239,0.079,13.14,24.102,12.565
ff1192,0.088,0.211,0.526,0.175,0,0,0,0,0.474,0.474,0.659,0.07,11.577,22.325,10.131
ff1193,0.025,0.057,0.098,0.393,0.348,0.078,0,0,0.492,0.365,0.317,0.148,19.537,37.384,5.977
ff1194,0.5,0.5,0,0,0,0,0,0,0.5,0.667,0.929,0,2.428,9,29.312
ff1195,1,0,0,0,0,0,0,0,0.667,0.667,0.625,0,0.849,1.633,41.293
ff1196,1,0,0,0,0,0,0,0,0.413,0.46,0.045,0.143,1.19,3.333,54.015
ff1197,1,0,0,0,0,0,0,0,0.4,0.4,0.375,0.4,1.184,2.28,0.262
ff1198,1,0,0,0,0,0,0,0,0.5,0.5,0.429,0.125,1.327,2.45,0.29
ff1199,0.476,0.524,0,0,0,0,0,0,0.476,0.429,0.125,0.143,4.237,9.748,0.345
ff1200,0.188,0.688,0.125,0,0,0,0,0,0.562,0.375,0.543,0.125,8.646,15.875,15.769
ff1201,0.523,0.295,0.182,0,0,0,0,0,0.477,0.364,0.617,0.159,6.669,9.761,21.941
ff1202,0.206,0.412,0.382,0,0,0,0,0,0.471,0.353,0.452,0.206,9.669,15.859,9.412
ff1203,1,0,0,0,0,0,0,0,0.6,0.6,0.688,0,2.864,5.4,12.608
ff1204,0.5,0.412,0.088,0,0,0,0,0,0.412,0.529,0.649,0.088,6.533,11.288,21.987
ff1205,1,0,0,0,0,0,0,0,0.5,0.75,0.429,0,1.185,2.1,56.7
ff1206,1,0,0,0,0,0,0,0,0.333,1,0.972,0,0.367,2.167,53.823
ff1207,1,0,0,0,0,0,0,0,0.5,0.75,0.826,0,0.665,1.7,53.227
ff1208,1,0,0,0,0,0,0,0,0.444,0.556,0.591,0.111,2.896,4.389,14.339
ff1209,1,0,0,0,0,0,0,0,1,1,0.974,0,0.24,1.5,43.65
ff1210,0.078,0.062,0.141,0.266,0.375,0.078,0,0,0.625,0.359,0.158,0.031,17.833,35.502,17.338
ff1211,0.032,0.08,0.056,0.064,0.16,0.408,0.2,0,0.576,0.392,0.321,0.04,25.971,47.769,8.06
ff1212,0.06,0.093,0.049,0.09,0.15,0.35,0.178,0.03,0.508,0.404,0.124,0.09,22.717,45.886,10.003
ff1213,0.438,0.562,0,0,0,0,0,0,0.469,0.469,0.22,0.094,6.101,11.316,12.147
ff1214,0.917,0.083,0,0,0,0,0,0,0.292,0.458,0.579,0.292,3.107,4.958,18.538
ff1215,0.5,0.5,0,0,0,0,0,0,0.4,0.45,0.697,0.2,5.249,9.815,18.596
ff1216,0.615,0.385,0,0,0,0,0,0,0.538,0.423,0.316,0.077,5.452,8.196,19.157
ff1217,1,0,0,0,0,0,0,0,0.75,0.5,0.818,0,1.135,2.825,56.703
ff1218,0.5,0.5,0,0,0,0,0,0,0.7,0.4,0.677,0,5.068,8.92,17.716
ff1219,0.417,0.583,0,0,0,0,0,0,0.625,0.333,0.314,0.083,6.125,10.587,10.665
ff1220,0.556,0.444,0,0,0,0,0,0,0.519,0.444,0.25,0.074,5.245,10.463,21.296
ff1221,1,0,0,0,0,0,0,0,0.636,0.273,0.56,0.182,1.953,3.282,52.98
ff1222,0.926,0.074,0,0,0,0,0,0,0.519,0.426,0.26,0.074,3.355,5.833,33.204
ff1223,1,0,0,0,0,0,0,0,0.5,0.75,0.75,0,1.423,3.075,44.907
ff1224,0.438,0.562,0,0,0,0,0,0,0.5,0.5,0.495,0.021,6.223,10.088,31.319
ff1225,1,0,0,0,0,0,0,0,0.4,0.533,0.483,0.133,2.356,4.16,43.361
ff1226,0.258,0.742,0,0,0,0,0,0,0.516,0.419,0.354,0.097,6.348,11.203,16.397
ff1227,0.529,0.471,0,0,0,0,0,0,0.706,0.353,0.15,0,4.433,8.635,29.782
ff1228,0.094,0.281,0.625,0,0,0,0,0,0.531,0.469,0.418,0.031,11.031,19.997,14.181
ff1229,1,0,0,0,0,0,0,0,0,0,0.75,0,0.05,0.1,57.53
ff1230,1,0,0,0,0,0,0,0,0.5,0.75,0.636,0,3.547,6.5,45.468
ff1231,0.027,0.297,0.622,0.054,0,0,0,0,0.459,0.568,0.413,0,12.059,22.495,28.027
ff1232,1,0,0,0,0,0,0,0,0,0,0.8,0,0.045,0.1,52.98
ff1233,1,0,0,0,0,0,0,0,0.5,0.75,0.81,0,1.097,2.7,53.487
ff1234,0.012,0.064,0.139,0.266,0.329,0.191,0,0,0.584,0.387,0.06,0.035,14.64,39.173,6.124
ff1235,0.019,0.049,0.146,0.325,0.35,0.112,0,0,0.485,0.447,0.223,0.073,18.509,37.64,7.651
ff1236,0.082,0.2,0.412,0.212,0.094,0,0,0,0.424,0.541,0.455,0.047,14.526,24.485,23.268
ff1237,0.106,0.213,0.617,0.064,0,0,0,0,0.489,0.447,0.13,0.064,10.361,21.391,3.093
ff1238,0.269,0.565,0.167,0,0,0,0,0,0.491,0.426,0.2,0.093,8.465,14.926,6.821
ff1239,0.889,0.111,0,0,0,0,0,0,0.222,0.889,0.526,0,3.547,5.267,27.189
ff1240,0.305,0.484,0.211,0,0,0,0,0,0.484,0.368,0.188,0.147,8.03,12.852,8.949
ff1241,0.074,0.337,0.442,0.147,0,0,0,0,0.526,0.442,0.087,0.042,10.087,22.004,2.513
ff1242,0.044,0.115,0.204,0.106,0.372,0.159,0,0,0.522,0.363,0.441,0.124,20.816,36.188,13.493
ff1243,1,0,0,0,0,0,0,0,0.5,0.75,0.857,0,1.733,3.975,61.175
ff1244,1,0,0,0,0,0,0,0,0.3,0.6,0.859,0.2,0.838,2.31,53.254
ff1245,1,0,0,0,0,0,0,0,0.2,0.2,0.737,0.8,0.905,2,56.914
ff1246,1,0,0,0,0,0,0,0,0.167,0.667,0.684,0.333,1.138,2.3,49.492
ff1247,1,0,0,0,0,0,0,0,1,1,0.941,0,0.34,1.4,53.49
ff1248,0.102,0.059,0.085,0.424,0.153,0.178,0,0,0.627,0.347,0.224,0.034,19.37,35.26,16.931
ff1249,1,0,0,0,0,0,0,0,0.286,0.857,0.811,0,1.297,2.914,26.524
ff1250,0.145,0.4,0.145,0.145,0.164,0,0,0,0.673,0.309,0.389,0.036,15.038,23.06,6.248
ff1251,0.186,0.157,0.127,0.333,0.196,0,0,0,0.441,0.51,0.089,0.039,14.909,26.592,17.37
ff1252,1,0,0,0,0,0,0,0,0.5,0,0.6,0,0.089,0.15,61.185
ff1253,0.471,0.176,0.353,0,0,0,0,0,0.618,0.353,0.277,0.029,9.936,13.356,9.34
ff1254,1,0,0,0,0,0,0,0,1,1,0.75,0,0.95,1.9,0.24
ff1255,1,0,0,0,0,0,0,0,0.4,0.2,0.444,0.6,0.229,0.42,0.258
ff1256,1,0,0,0,0,0,0,0,0.5,1,0.946,0,0.677,2.85,63.075
ff1257,1,0,0,0,0,0,0,0,0.625,0.5,0.733,0,1.115,2.4,0.291
